libunicode-linebreak-perl,0
libatspi2.0-0,49022896
enchant,4067
qmlscene,0
apache2-utils,0
libidn11,36143832
libio-socket-ssl-perl,0
linux-modules-4.15.0-43-lowlatency,0
libtinyxml2.6.2v5,0
libfont-afm-perl,0
xdg-user-dirs-gtk,0
plymouth-theme-lubuntu-text,0
pinentry-gnome3,0
libopenal1,0
gcc-5,0
libsombok3,0
libxss-dev,0
hwdata,0
libopts25,0
libbrasero-media3-1,0
libjansson4,0
libisc-export160,14474695
libpython3.5-dev,0
libhtml-parser-perl,0
libgnome-keyring0,3251
glib-networking-common,0
gnome-terminal,0
librhino-java,0
libattr1,33762466
binfmt-support,0
unity-scope-chromiumbookmarks,0
libavc1394-0,0
app-install-data-partner,0
system-config-printer-gnome,0
hplip,0
x11proto-fixes-dev,0
audacious-plugins-data,0
growisofs,0
xinetd,4838392
crda,0
zlib1g-dev,0
libgnutlsxx28,0
libboost-program-options1.58.0,0
libdjvulibre21,0
xscreensaver,0
libmirclient9,41655568
ruby-test-unit,0
thermald,0
gir1.2-pango-1.0,0
gstreamer1.0-plugins-bad-faad,0
vim-addon-manager,0
libfm-data,0
tcpd,0
libxdamage1,104534359
libmime-charset-perl,0
network-manager,0
libfile-fcntllock-perl,0
libbluray1,0
gnome-mines,0
gnome-terminal-data,0
libaudit-common,0
bridge-utils,0
ubuntu-system-service,0
apache2-data,0
vbindiff,0
libapparmor-dev,1007
libgmp-dev,0
gir1.2-gtk-3.0,0
libsemanage1,0
unity-lens-music,0
memtest86+,0
libido-0.1-0,0
simple-scan,0
libxfreerdp-client1.1,0
libframe6,0
pulseaudio-module-x11,0
gnome-settings-daemon-schemas,0
liblangtag1,0
liblwp-mediatypes-perl,0
liba11y-profile-manager-0.1-0,0
libsnappy1v5,0
libwinpr-utils0.1,0
libtracker-miner-1.0-0,0
liblouis9,0
bluez-obexd,0
libsvn1,0
fonts-kacst,0
signon-ui-x11,0
libcue1,0
libxcb-render-util0,0
libx32ubsan0,0
libfontenc1,7488600
texlive,0
libwinpr-pool0.1,0
cups-filters,0
iw,0
libaspell15,0
libgarcon-common,0
p11-kit-modules,0
lib32gcc1,0
xserver-xorg-video-all-hwe-16.04,0
libhybris-common1,0
libexo-helpers,0
make,0
python3-markupsafe,0
pcmanfm,7368326
galculator,0
tex-gyre,0
python-samba,0
libnet-ip-perl,0
libspectre1,0
libusb-1.0-0-dev,0
libsoup2.4-1,21874040
libruby2.3,2802
initramfs-tools-core,0
unity-control-center-faces,0
libexo-common,0
libmagickcore-6.q16-2,0
libxfont1,0
libavahi-common-data,0
libgcab-1.0-0,9678097
zlib1g,334596437
libde265-0,0
qtdeclarative5-unity-action-plugin,0
libxfont2,7488022
liblist-moreutils-perl,0
libqpdf17,0
libexempi3,0
liboobs-1-5,0
libgdata22,0
run-one,0
